GLOBAL UNIQUE IDENTIFIER	COMMON NAME	SCIENTIFIC NAME	OBSERVATION COUNT	COUNTRY	STATE	LOCALITY	LATITUDE	LONGITUDE	OBSERVATION DATE	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	ALL SPECIES REPORTED
URN:CornellLabOfOrnithology:EBIRD:OBS1000000145	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	18.561	-91.15	2025-03-02	obsr1314430	S593657365	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000146	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	10.646	-73.78	2025-03-28	obsr8202195	S715683222	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000147	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	17.341	-88.975	2025-03-23	obsr5857259	S223666470	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000148	Baltimore Oriole	Icterus galbula	3		Central America	Central America	9.286	-78.975	2025-03-01	obsr3883553	S960413104	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000149	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	10.202	-75.877	2025-03-15	obsr2478574	S568915703	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000150	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	18.436	-90.982	2025-03-08	obsr7718433	S662600500	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000151	Baltimore Oriole	Icterus galbula	3		Central America	Central America	14.518	-82.154	2025-03-13	obsr6696087	S337911187	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000152	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	19.475	-91.859	2025-03-25	obsr2281433	S648127255	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000153	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	8.459	-72.437	2025-03-04	obsr6861544	S476990466	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000154	Baltimore Oriole	Icterus galbula	2		Central America	Central America	10.573	-83.633	2025-03-27	obsr4963933	S210385522	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000155	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	18.727	-91.301	2025-03-09	obsr3910830	S746820987	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000156	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	16.315	-88.409	2025-03-25	obsr3972018	S929839316	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000157	Baltimore Oriole	Icterus galbula	4		Central America	Central America	10.035	-79.121	2025-03-16	obsr8531380	S831361497	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000158	Baltimore Oriole	Icterus galbula	3		Mexico	Mexico	16.636	-89.572	2025-03-21	obsr6303930	S262089272	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000159	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	17.721	-90.866	2025-03-03	obsr8419020	S777944609	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000160	Baltimore Oriole	Icterus galbula	3		Central America	Central America	13.261	-76.536	2025-03-26	obsr1942411	S477895080	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000161	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	9.746	-73.535	2025-03-03	obsr8746753	S585238820	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000162	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	9.053	-69.046	2025-03-02	obsr5816353	S182389284	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000163	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	19.038	-88.7	2025-03-28	obsr9507186	S512834919	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000164	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	17.637	-90.303	2025-03-19	obsr8545279	S969533218	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000165	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	16.661	-89.542	2025-03-21	obsr6394323	S749620068	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000166	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	18.547	-89.624	2025-03-17	obsr2038068	S583745511	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000167	Baltimore Oriole	Icterus galbula	3		Central America	Central America	11.494	-81.081	2025-03-26	obsr2414808	S641755366	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000168	Baltimore Oriole	Icterus galbula	1		Central America	Central America	9.785	-76.475	2025-03-06	obsr5156449	S859803019	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000169	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	17.891	-96.027	2025-03-15	obsr7105194	S500346767	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000170	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	14.316	-88.959	2025-03-13	obsr6676858	S828960875	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000171	Baltimore Oriole	Icterus galbula	3		Central America	Central America	13.26	-83.224	2025-03-02	obsr2105817	S454002758	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000172	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	18.25	-92.512	2025-03-18	obsr5767195	S370578414	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000173	Baltimore Oriole	Icterus galbula	2		Central America	Central America	12.251	-82.472	2025-03-28	obsr6592886	S187512088	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000174	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	19.248	-87.009	2025-03-22	obsr6869018	S433108786	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000175	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	20.622	-90.554	2025-03-23	obsr3163449	S738920648	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000176	Baltimore Oriole	Icterus galbula	3		Central America	Central America	17.398	-80.678	2025-03-03	obsr7319630	S790945624	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000177	Baltimore Oriole	Icterus galbula	2		Central America	Central America	12.733	-80.266	2025-03-27	obsr9831414	S200344359	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000178	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	14.497	-91.46	2025-03-22	obsr9531021	S488509962	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000179	Baltimore Oriole	Icterus galbula	3		Central America	Central America	9.026	-76.525	2025-03-12	obsr4024309	S329987621	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000180	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	18.405	-91.718	2025-03-25	obsr4221313	S343248743	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000181	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	18.56	-92.483	2025-03-05	obsr5962567	S946237594	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000182	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	19.232	-93.313	2025-03-17	obsr6649968	S922816526	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000183	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	21.476	-86.749	2025-03-05	obsr3587931	S274211616	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000184	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	17.278	-89.456	2025-03-27	obsr8342941	S146914391	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000185	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	14.582	-90.321	2025-03-12	obsr8452417	S755621841	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000186	Baltimore Oriole	Icterus galbula	4		Central America	Central America	10.755	-79.748	2025-03-25	obsr4925917	S673390109	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000187	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	19.217	-88.32	2025-03-10	obsr4255051	S494966219	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000188	Baltimore Oriole	Icterus galbula	4		Central America	Central America	8.226	-76.991	2025-03-19	obsr8745704	S926178355	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000189	Baltimore Oriole	Icterus galbula	4		Central America	Central America	11.499	-73.68	2025-03-25	obsr9437374	S666355637	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000190	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	17.39	-91.526	2025-03-06	obsr3321942	S368438908	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000191	Baltimore Oriole	Icterus galbula	4		Central America	Central America	12.886	-76.807	2025-03-21	obsr7227905	S695433590	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000192	Baltimore Oriole	Icterus galbula	1		Central America	Central America	14.351	-79.855	2025-03-23	obsr5782563	S190060226	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000193	Baltimore Oriole	Icterus galbula	4		Central America	Central America	8.61	-75.301	2025-03-09	obsr9612629	S258214411	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000194	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	7.12	-71.85	2025-03-03	obsr8568671	S475364113	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000195	Baltimore Oriole	Icterus galbula	1		Central America	Central America	12.708	-71.327	2025-03-14	obsr7651393	S639026034	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000196	Baltimore Oriole	Icterus galbula	4		Central America	Central America	13.176	-77.173	2025-03-08	obsr2369112	S502559419	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000197	Baltimore Oriole	Icterus galbula	3		Central America	Central America	13.593	-77.825	2025-03-01	obsr2662338	S867407868	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000198	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	16.232	-87.79	2025-03-11	obsr3308538	S141127742	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000199	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	20.066	-87.775	2025-03-27	obsr3328554	S914799481	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000200	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	16.695	-90.043	2025-03-16	obsr1088100	S185068029	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000201	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	19.517	-91.299	2025-03-09	obsr3508522	S689274064	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000202	Baltimore Oriole	Icterus galbula	4		Central America	Central America	9.606	-76.457	2025-03-20	obsr2865405	S933409017	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000203	Baltimore Oriole	Icterus galbula	3		Mexico	Mexico	18.356	-88.616	2025-03-08	obsr3044276	S151270577	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000204	Baltimore Oriole	Icterus galbula	4		Central America	Central America	10.673	-77.916	2025-03-14	obsr2053729	S219032752	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000205	Baltimore Oriole	Icterus galbula	1		Central America	Central America	12.182	-79.69	2025-03-20	obsr9646569	S717452511	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000206	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	17.079	-89.962	2025-03-23	obsr5886733	S560891752	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000207	Baltimore Oriole	Icterus galbula	3		Mexico	Mexico	20.763	-90.781	2025-03-20	obsr5035998	S712745501	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000208	Baltimore Oriole	Icterus galbula	1		Central America	Central America	11.504	-77.379	2025-03-06	obsr9782613	S487195336	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000209	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	17.864	-90.252	2025-03-17	obsr7550726	S604803700	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000210	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	19.83	-93.101	2025-04-12	obsr6353876	S359564054	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000211	Baltimore Oriole	Icterus galbula	3		Texas	Texas	26.996	-96.669	2025-04-04	obsr8542969	S366200875	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000212	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	17.676	-97.975	2025-04-04	obsr5868949	S512477736	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000213	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	20.49	-95.373	2025-04-14	obsr3679315	S973465185	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000214	Baltimore Oriole	Icterus galbula	3		Louisiana	Louisiana	30.928	-89.397	2025-04-19	obsr4184887	S919395339	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000215	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	20.637	-98.76	2025-04-16	obsr9367799	S431292818	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000216	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	19.373	-94.66	2025-04-01	obsr7597509	S642716859	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000217	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	20.411	-97.01	2025-04-08	obsr6920597	S152246275	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000218	Baltimore Oriole	Icterus galbula	4		Texas	Texas	28.313	-96.863	2025-04-10	obsr8895137	S406819991	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000219	Baltimore Oriole	Icterus galbula	1		Illinois	Illinois	39.565	-93.986	2025-04-01	obsr8229768	S243811545	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000220	Baltimore Oriole	Icterus galbula	3		Louisiana	Louisiana	35.136	-90.087	2025-04-24	obsr7765480	S492922240	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000221	Baltimore Oriole	Icterus galbula	1		Texas	Texas	29.534	-98.627	2025-04-13	obsr4265774	S489256938	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000222	Baltimore Oriole	Icterus galbula	1		Illinois	Illinois	40.673	-88.508	2025-04-10	obsr7481857	S641440255	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000223	Baltimore Oriole	Icterus galbula	3		Louisiana	Louisiana	30.021	-86.832	2025-04-25	obsr2993318	S238151258	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000224	Baltimore Oriole	Icterus galbula	3		Illinois	Illinois	42.645	-92.084	2025-04-13	obsr6688907	S698967370	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000225	Baltimore Oriole	Icterus galbula	2		Louisiana	Louisiana	32.066	-95.679	2025-04-25	obsr4339637	S746889670	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000226	Baltimore Oriole	Icterus galbula	1		Louisiana	Louisiana	29.133	-88.727	2025-04-13	obsr1760064	S141783553	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000227	Baltimore Oriole	Icterus galbula	3		Texas	Texas	26.745	-99.23	2025-04-23	obsr8948107	S657629251	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000228	Baltimore Oriole	Icterus galbula	2		Louisiana	Louisiana	32.691	-90.442	2025-04-05	obsr6502353	S758276886	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000229	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	22.389	-96.18	2025-04-06	obsr6020319	S737506993	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000230	Baltimore Oriole	Icterus galbula	4		Louisiana	Louisiana	30.378	-90.86	2025-04-17	obsr6029651	S609912042	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000231	Baltimore Oriole	Icterus galbula	3		Texas	Texas	27.235	-96.042	2025-04-12	obsr2838859	S547256709	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000232	Baltimore Oriole	Icterus galbula	1		Illinois	Illinois	44.147	-88.86	2025-04-10	obsr8962302	S385111130	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000233	Baltimore Oriole	Icterus galbula	2		Illinois	Illinois	40.971	-85.462	2025-04-26	obsr1861596	S726553348	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000234	Baltimore Oriole	Icterus galbula	4		Louisiana	Louisiana	29.316	-88.81	2025-04-06	obsr3479264	S982252092	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000235	Baltimore Oriole	Icterus galbula	1		Illinois	Illinois	41.603	-86.293	2025-04-08	obsr2843740	S304853117	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000236	Baltimore Oriole	Icterus galbula	3		Mexico	Mexico	20.152	-94.089	2025-04-15	obsr8025967	S262598077	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000237	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	21.372	-96.64	2025-04-23	obsr7884990	S638824588	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000238	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	18.266	-97.977	2025-04-16	obsr3316639	S656931857	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000239	Baltimore Oriole	Icterus galbula	3		Illinois	Illinois	41.833	-90.355	2025-04-18	obsr9025733	S664226794	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000240	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	19.652	-97.476	2025-04-11	obsr8711874	S672440825	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000241	Baltimore Oriole	Icterus galbula	3		Mexico	Mexico	20.92	-94.997	2025-04-18	obsr5435261	S755064741	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000242	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	20.011	-97.473	2025-04-07	obsr5680950	S699240979	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000243	Baltimore Oriole	Icterus galbula	3		Mexico	Mexico	21.452	-95.144	2025-04-08	obsr5848684	S856881618	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000244	Baltimore Oriole	Icterus galbula	4		Louisiana	Louisiana	31.965	-87.95	2025-04-23	obsr6319061	S615185000	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000245	Baltimore Oriole	Icterus galbula	3		Illinois	Illinois	40.042	-89.022	2025-04-18	obsr5828304	S230861323	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000246	Baltimore Oriole	Icterus galbula	4		Illinois	Illinois	40.953	-92.087	2025-04-22	obsr7619156	S978726109	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000247	Baltimore Oriole	Icterus galbula	2		Louisiana	Louisiana	33.487	-86.777	2025-04-25	obsr5872986	S145168545	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000248	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	21.569	-95.978	2025-04-23	obsr6811015	S574997731	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000249	Baltimore Oriole	Icterus galbula	4		Texas	Texas	27.379	-100.05	2025-04-09	obsr4590102	S316968866	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000250	Baltimore Oriole	Icterus galbula	3		Illinois	Illinois	36.664	-89.088	2025-04-09	obsr3303058	S217281149	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000251	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	17.848	-94.192	2025-04-24	obsr5067770	S154508960	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000252	Baltimore Oriole	Icterus galbula	2		Texas	Texas	28.586	-96.751	2025-04-17	obsr4906349	S156361897	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000253	Baltimore Oriole	Icterus galbula	3		Mexico	Mexico	20.392	-91.866	2025-04-14	obsr8925622	S207959268	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000254	Baltimore Oriole	Icterus galbula	2		Louisiana	Louisiana	29.759	-88.952	2025-04-25	obsr1086930	S690936560	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000255	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	20.832	-93.157	2025-04-14	obsr9010256	S798510601	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000256	Baltimore Oriole	Icterus galbula	3		Illinois	Illinois	38.203	-88.475	2025-04-25	obsr6388299	S406462391	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000257	Baltimore Oriole	Icterus galbula	1		Mexico	Mexico	19.343	-94.565	2025-04-02	obsr4896008	S674615376	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000258	Baltimore Oriole	Icterus galbula	1		Illinois	Illinois	38.721	-89.369	2025-04-24	obsr3937099	S548700579	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000259	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	23.187	-97.869	2025-04-02	obsr9311162	S300050585	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000260	Baltimore Oriole	Icterus galbula	3		Mexico	Mexico	19.085	-96.012	2025-04-28	obsr1628578	S109950544	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000261	Baltimore Oriole	Icterus galbula	1		Illinois	Illinois	41.355	-92.008	2025-04-19	obsr6621073	S405545745	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000262	Baltimore Oriole	Icterus galbula	4		Texas	Texas	28.456	-96.386	2025-04-21	obsr3251501	S641394238	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000263	Baltimore Oriole	Icterus galbula	2		Texas	Texas	29.587	-98.04	2025-04-09	obsr2889899	S455069350	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000264	Baltimore Oriole	Icterus galbula	4		Louisiana	Louisiana	30.556	-85.055	2025-04-24	obsr5316188	S871588919	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000265	Baltimore Oriole	Icterus galbula	3		Mexico	Mexico	22.662	-95.014	2025-04-01	obsr5949685	S709650444	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000266	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	21.127	-93.5	2025-04-25	obsr3944316	S756007396	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000267	Baltimore Oriole	Icterus galbula	4		Louisiana	Louisiana	31.982	-91.519	2025-04-13	obsr9644974	S452108572	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000268	Baltimore Oriole	Icterus galbula	1		Illinois	Illinois	41.813	-86.339	2025-04-13	obsr4100114	S250980852	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000269	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	17.788	-98.796	2025-04-11	obsr1114590	S380016058	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000270	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	19.599	-94.727	2025-04-08	obsr5479421	S453932473	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000271	Baltimore Oriole	Icterus galbula	1		Texas	Texas	26.855	-98.24	2025-04-19	obsr5388133	S801887172	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000272	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	18.065	-94.724	2025-04-23	obsr2042273	S817029885	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000273	Baltimore Oriole	Icterus galbula	3		Mexico	Mexico	20.032	-98.512	2025-04-15	obsr3679603	S535312769	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000274	Baltimore Oriole	Icterus galbula	3		Louisiana	Louisiana	31.421	-87.234	2025-04-17	obsr2969909	S785811060	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000275	Baltimore Oriole	Icterus galbula	2		Mexico	Mexico	18.554	-95.834	2025-04-12	obsr4676367	S243418388	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000276	Baltimore Oriole	Icterus galbula	4		Texas	Texas	28.445	-95.499	2025-04-05	obsr7268384	S546510829	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000277	Baltimore Oriole	Icterus galbula	4		Louisiana	Louisiana	34.455	-89.027	2025-04-18	obsr4664338	S918040539	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000278	Baltimore Oriole	Icterus galbula	1		Louisiana	Louisiana	29.008	-90.804	2025-04-22	obsr9816538	S579691987	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000279	Baltimore Oriole	Icterus galbula	3		Illinois	Illinois	39.878	-86.954	2025-04-23	obsr2310346	S705771555	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000280	Baltimore Oriole	Icterus galbula	4		Michigan	Michigan	41.344	-90.835	2025-05-16	obsr1263935	S107099962	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000281	Baltimore Oriole	Icterus galbula	4		Nebraska	Nebraska	42.352	-95.688	2025-05-18	obsr1198826	S117959560	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000282	Baltimore Oriole	Icterus galbula	3		Nebraska	Nebraska	41.848	-95.737	2025-05-24	obsr9988193	S407829477	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000283	Baltimore Oriole	Icterus galbula	4		Nebraska	Nebraska	42.212	-94.487	2025-05-17	obsr4007598	S214908010	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000284	Baltimore Oriole	Icterus galbula	2		Virginia	Virginia	37.519	-82.298	2025-05-17	obsr5042786	S306085476	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000285	Baltimore Oriole	Icterus galbula	3		New York	New York	42.593	-72.917	2025-05-17	obsr6946534	S387037751	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000286	Baltimore Oriole	Icterus galbula	3		Virginia	Virginia	35.515	-80.336	2025-05-03	obsr7812009	S592845076	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000287	Baltimore Oriole	Icterus galbula	2		Virginia	Virginia	35.029	-80.069	2025-05-08	obsr6032739	S834484102	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000288	Baltimore Oriole	Icterus galbula	1		Michigan	Michigan	42.564	-88.508	2025-05-21	obsr2568678	S535164258	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000289	Baltimore Oriole	Icterus galbula	4		Manitoba	Manitoba	48.717	-91.133	2025-05-13	obsr1941452	S783703040	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000290	Baltimore Oriole	Icterus galbula	2		Manitoba	Manitoba	49.381	-89.487	2025-05-23	obsr2387242	S636718857	Stationary	1
